,year,category,movie,nominee,is_winner
191,1933,SOUND RECORDING,False,Paramount Publix Studio Sound Department,True
192,1933,SOUND RECORDING,False,RKO Radio Studio Sound Department,False
193,1933,SOUND RECORDING,False,Warner Bros.-First National Studio Sound Department,False
194,1933,WRITING (Adaptation),Arrowsmith| (1933),Sidney Howard,False
195,1933,WRITING (Adaptation),Bad Girl| (1933),Edwin Burke,True
196,1933,WRITING (Adaptation),Dr. Jekyll and Mr. Hyde| (1933),"Percy Heath, Samuel Hoffenstein",False
197,1933,WRITING (Original Story),The Champ| (1933),Frances Marion,True
198,1933,WRITING (Original Story),Lady and Gent| (1933),"Grover Jones, William Slavens McNutt",False
199,1933,WRITING (Original Story),The Star Witness| (1933),Lucien Hubbard,False
200,1933,WRITING (Original Story),What Price Hollywood?| (1933),"Adela Rogers St. Johns, Jane Murfin",False
201,1934,ACTOR,Berkeley Square| (1934),Leslie Howard,False
202,1934,ACTOR,The Private Life of Henry VIII| (1934),Charles Laughton,True
203,1934,ACTOR,I Am a Fugitive from a Chain Gang| (1934),Paul Muni,False
204,1934,ACTRESS,Morning Glory| (1934),Katharine Hepburn,True
205,1934,ACTRESS,Lady for a Day| (1934),May Robson,False
206,1934,ACTRESS,Cavalcade| (1934),Diana Wynyard,False
207,1934,ART DIRECTION,Cavalcade| (1934),William S. Darling,True
208,1934,ART DIRECTION,A Farewell to Arms| (1934),"Hans Dreier, Roland Anderson",False
209,1934,ART DIRECTION,When Ladies Meet| (1934),Cedric Gibbons,False
210,1934,ASSISTANT DIRECTOR,False,Percy Ikerd (Fox),False
211,1934,ASSISTANT DIRECTOR,False,William Tummel (Fox),True
212,1934,ASSISTANT DIRECTOR,False,Charles Dorian (Metro-Goldwyn-Mayer),True
213,1934,ASSISTANT DIRECTOR,False,Bunny Dull (Metro-Goldwyn-Mayer),False
214,1934,ASSISTANT DIRECTOR,False,John S. Waters (Metro-Goldwyn-Mayer),False
215,1934,ASSISTANT DIRECTOR,False,Charles Barton (Paramount),True
216,1934,ASSISTANT DIRECTOR,False,Sidney S. Brod (Paramount),False
217,1934,ASSISTANT DIRECTOR,False,Arthur Jacobson (Paramount),False
218,1934,ASSISTANT DIRECTOR,False,Eddie Killey (RKO Radio),False
219,1934,ASSISTANT DIRECTOR,False,Dewey Starkey (RKO Radio),True
220,1934,ASSISTANT DIRECTOR,False,Fred Fox (United Artists),True
221,1934,ASSISTANT DIRECTOR,False,Benjamin Silvey (United Artists),False
222,1934,ASSISTANT DIRECTOR,False,Scott Beal (Universal),True
223,1934,ASSISTANT DIRECTOR,False,Joe McDonough (Universal),False
224,1934,ASSISTANT DIRECTOR,False,W. J. Reiter (Universal),False
225,1934,ASSISTANT DIRECTOR,False,Al Alborn (Warner Bros.),False
226,1934,ASSISTANT DIRECTOR,False,Gordon Hollingshead (Warner Bros.),True
227,1934,ASSISTANT DIRECTOR,False,Frank X. Shaw (Warner Bros.),False
228,1934,CINEMATOGRAPHY,A Farewell to Arms| (1934),"Charles Bryant Lang, Jr.",True
229,1934,CINEMATOGRAPHY,Reunion in Vienna| (1934),George J. Folsey,False
230,1934,CINEMATOGRAPHY,The Sign of the Cross| (1934),Karl Struss,False
231,1934,DIRECTING,Cavalcade| (1934),Frank Lloyd,True
232,1934,DIRECTING,Lady for a Day| (1934),Frank Capra,False
233,1934,DIRECTING,Little Women| (1934),George Cukor,False
234,1934,OUTSTANDING PRODUCTION,Cavalcade| (1934),Fox,True
235,1934,OUTSTANDING PRODUCTION,A Farewell to Arms| (1934),Paramount,False
236,1934,OUTSTANDING PRODUCTION,42nd Street| (1934),Warner Bros.,False
237,1934,OUTSTANDING PRODUCTION,I Am a Fugitive from a Chain Gang| (1934),Warner Bros.,False
238,1934,OUTSTANDING PRODUCTION,Lady for a Day| (1934),Columbia,False
239,1934,OUTSTANDING PRODUCTION,Little Women| (1934),RKO Radio,False
240,1934,OUTSTANDING PRODUCTION,The Private Life of Henry VIII| (1934),London Films,False
241,1934,OUTSTANDING PRODUCTION,She Done Him Wrong| (1934),Paramount,False
242,1934,OUTSTANDING PRODUCTION,Smilin' Through| (1934),Metro-Goldwyn-Mayer,False
243,1934,OUTSTANDING PRODUCTION,State Fair| (1934),Fox,False
244,1934,SHORT SUBJECT (Cartoon),Building a Building| (1934),"Walt Disney, Producer",False
245,1934,SHORT SUBJECT (Cartoon),The Merry Old Soul| (1934),"Walter Lantz, Producer",False
246,1934,SHORT SUBJECT (Cartoon),The Three Little Pigs| (1934),"Walt Disney, Producer",True
247,1934,SHORT SUBJECT (Comedy),Mister Mugg| (1934),"Warren Doane, Producer",False
248,1934,SHORT SUBJECT (Comedy),A Preferred List| (1934),"Louis Brock, Producer",False
249,1934,SHORT SUBJECT (Comedy),So This Is Harris| (1934),"Louis Brock, Producer",True
250,1934,SHORT SUBJECT (Novelty),Krakatoa| (1934),"Joe Rock, Producer",True
251,1934,SHORT SUBJECT (Novelty),Menu| (1934),"Pete Smith, Producer",False
252,1934,SHORT SUBJECT (Novelty),The Sea| (1934),Educational,False
253,1934,SOUND RECORDING,A Farewell to Arms| (1934),"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",True
254,1934,SOUND RECORDING,42nd Street| (1934),"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",False
255,1934,SOUND RECORDING,Gold Diggers of 1933| (1934),"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",False
256,1934,SOUND RECORDING,I Am a Fugitive from a Chain Gang| (1934),"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",False
257,1934,WRITING (Adaptation),Lady for a Day| (1934),Robert Riskin,False
258,1934,WRITING (Adaptation),Little Women| (1934),"Victor Heerman, Sarah Y. Mason",True
259,1934,WRITING (Adaptation),State Fair| (1934),"Paul Green, Sonya Levien",False
260,1934,WRITING (Original Story),One Way Passage| (1934),Robert Lord,True
261,1934,WRITING (Original Story),The Prizefighter and the Lady| (1934),Frances Marion,False
262,1934,WRITING (Original Story),Rasputin and the Empress| (1934),Charles MacArthur,False
263,1935,ACTOR,It Happened One Night| (1935),Clark Gable,True
264,1935,ACTOR,The Affairs of Cellini| (1935),Frank Morgan,False
265,1935,ACTOR,The Thin Man| (1935),William Powell,False
266,1935,ACTRESS,It Happened One Night| (1935),Claudette Colbert,True
267,1935,ACTRESS,Of Human Bondage| (1935),Bette Davis,False
268,1935,ACTRESS,One Night of Love| (1935),Grace Moore,False
269,1935,ACTRESS,The Barretts of Wimpole Street| (1935),Norma Shearer,False
270,1935,ART DIRECTION,The Affairs of Cellini| (1935),Richard Day,False
271,1935,ART DIRECTION,The Gay Divorcee| (1935),"Van Nest Polglase, Carroll Clark",False
272,1935,ART DIRECTION,The Merry Widow| (1935),"Cedric Gibbons, Fredric Hope",True
273,1935,ASSISTANT DIRECTOR,Cleopatra| (1935),Cullen Tate,False
274,1935,ASSISTANT DIRECTOR,Imitation of Life| (1935),Scott Beal,False
275,1935,ASSISTANT DIRECTOR,Viva Villa!| (1935),John Waters,True
276,1935,CINEMATOGRAPHY,The Affairs of Cellini| (1935),Charles Rosher,False
277,1935,CINEMATOGRAPHY,Cleopatra| (1935),Victor Milner,True
278,1935,CINEMATOGRAPHY,Operator 13| (1935),George Folsey,False
279,1935,DIRECTING,It Happened One Night| (1935),Frank Capra,True
280,1935,DIRECTING,One Night of Love| (1935),Victor Schertzinger,False
281,1935,DIRECTING,The Thin Man| (1935),W. S. Van Dyke,False
282,1935,FILM EDITING,Cleopatra| (1935),Anne Bauchens,False
283,1935,FILM EDITING,Eskimo| (1935),Conrad Nervig,True
284,1935,FILM EDITING,One Night of Love| (1935),Gene Milford,False
285,1935,MUSIC (Scoring),The Gay Divorcee| (1935),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",False
286,1935,MUSIC (Scoring),The Lost Patrol| (1935),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",False
287,1935,MUSIC (Scoring),One Night of Love| (1935),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",True
288,1935,MUSIC (Song),Flying Down to Rio| (1935),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,False
289,1935,MUSIC (Song),The Gay Divorcee| (1935),Music by Con Conrad; Lyrics by Herb Magidson,True
290,1935,MUSIC (Song),She Loves Me Not| (1935),Music by Ralph Rainger; Lyrics by Leo Robin,False
291,1935,OUTSTANDING PRODUCTION,The Barretts of Wimpole Street| (1935),Metro-Goldwyn-Mayer,False
292,1935,OUTSTANDING PRODUCTION,Cleopatra| (1935),Paramount,False
293,1935,OUTSTANDING PRODUCTION,Flirtation Walk| (1935),First National,False
294,1935,OUTSTANDING PRODUCTION,The Gay Divorcee| (1935),RKO Radio,False
295,1935,OUTSTANDING PRODUCTION,Here Comes the Navy| (1935),Warner Bros.,False
296,1935,OUTSTANDING PRODUCTION,The House of Rothschild| (1935),20th Century,False
297,1935,OUTSTANDING PRODUCTION,Imitation of Life| (1935),Universal,False
298,1935,OUTSTANDING PRODUCTION,It Happened One Night| (1935),Columbia,True
299,1935,OUTSTANDING PRODUCTION,One Night of Love| (1935),Columbia,False
300,1935,OUTSTANDING PRODUCTION,The Thin Man| (1935),Metro-Goldwyn-Mayer,False
301,1935,OUTSTANDING PRODUCTION,Viva Villa!| (1935),Metro-Goldwyn-Mayer,False
302,1935,OUTSTANDING PRODUCTION,The White Parade| (1935),Jesse L. Lasky (production company),False
303,1935,SHORT SUBJECT (Cartoon),Holiday Land| (1935),"Charles Mintz, Producer",False
304,1935,SHORT SUBJECT (Cartoon),Jolly Little Elves| (1935),"Walter Lantz, Producer",False
305,1935,SHORT SUBJECT (Cartoon),The Tortoise and the Hare| (1935),"Walt Disney, Producer",True
306,1935,SHORT SUBJECT (Comedy),La Cucaracha| (1935),"Kenneth Macgowan, Producer",True
307,1935,SHORT SUBJECT (Comedy),Men in Black| (1935),"Jules White, Producer",False
308,1935,SHORT SUBJECT (Comedy),"What, No Men!| (1935)",Warner Bros.,False
309,1935,SHORT SUBJECT (Novelty),Bosom Friends| (1935),Skibo Productions,False
310,1935,SHORT SUBJECT (Novelty),City of Wax| (1935),"Stacy Woodard and Horace Woodard, Producers",True
311,1935,SHORT SUBJECT (Novelty),Strikes and Spares| (1935),"Pete Smith, Producer",False
312,1935,SOUND RECORDING,The Affairs of Cellini| (1935),"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",False
313,1935,SOUND RECORDING,Cleopatra| (1935),"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",False
314,1935,SOUND RECORDING,Flirtation Walk| (1935),"Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director",False
315,1935,SOUND RECORDING,The Gay Divorcee| (1935),"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",False
316,1935,SOUND RECORDING,Imitation of Life| (1935),"Universal Studio Sound Department, Theodore Soderberg, Sound Director",False
317,1935,SOUND RECORDING,One Night of Love| (1935),"Columbia Studio Sound Department, John Livadary, Sound Director",True
318,1935,SOUND RECORDING,Viva Villa!| (1935),"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",False
319,1935,SOUND RECORDING,The White Parade| (1935),"Fox Studio Sound Department, E. H. Hansen, Sound Director",False
320,1935,WRITING (Adaptation),It Happened One Night| (1935),Robert Riskin,True
321,1935,WRITING (Adaptation),The Thin Man| (1935),"Frances Goodrich, Albert Hackett",False
322,1935,WRITING (Adaptation),Viva Villa!| (1935),Ben Hecht,False
323,1935,WRITING (Original Story),Hide-Out| (1935),Mauri Grashin,False
324,1935,WRITING (Original Story),Manhattan Melodrama| (1935),Arthur Caesar,True
325,1935,WRITING (Original Story),The Richest Girl in the World| (1935),Norman Krasna,False
326,1936,ACTOR,Mutiny on the Bounty| (1936),Clark Gable,False
327,1936,ACTOR,Mutiny on the Bounty| (1936),Charles Laughton,False
328,1936,ACTOR,The Informer| (1936),Victor McLaglen,True
329,1936,ACTOR,Black Fury| (1936),Paul Muni,False
330,1936,ACTOR,Mutiny on the Bounty| (1936),Franchot Tone,False
331,1936,ACTRESS,Escape Me Never| (1936),Elisabeth Bergner,False
332,1936,ACTRESS,Private Worlds| (1936),Claudette Colbert,False
333,1936,ACTRESS,Dangerous| (1936),Bette Davis,True
334,1936,ACTRESS,Alice Adams| (1936),Katharine Hepburn,False
335,1936,ACTRESS,Becky Sharp| (1936),Miriam Hopkins,False
336,1936,ACTRESS,The Dark Angel| (1936),Merle Oberon,False
337,1936,ART DIRECTION,The Dark Angel| (1936),Richard Day,True
338,1936,ART DIRECTION,The Lives of a Bengal Lancer| (1936),"Hans Dreier, Roland Anderson",False
339,1936,ART DIRECTION,Top Hat| (1936),"Van Nest Polglase, Carroll Clark",False
340,1936,ASSISTANT DIRECTOR,David Copperfield| (1936),Joseph Newman,False
