movie,year,indications,win
Midnight Cowboy,1970.0,7,3
Mississippi Burning,1989.0,7,1
The Insider,2000.0,7,0
Argo,2013.0,7,3
The Cider House Rules,2000.0,7,2
The Thin Red Line,1999.0,7,0
As Good as It Gets,1998.0,7,2
The Country Girl,1955.0,7,2
The Ten Commandments,1957.0,7,1
Million Dollar Baby,2005.0,7,4
A Star Is Born,1938.0,7,1
Hannah and Her Sisters,1987.0,7,3
Stagecoach,1940.0,7,2
Random Harvest,1943.0,7,0
Dick Tracy,1991.0,7,3
Broadcast News,1988.0,7,0
The Caine Mutiny,1955.0,7,0
Dodsworth,1937.0,7,1
The Prince of Tides,1992.0,7,0
The Mission,1987.0,7,1
Anthony Adverse,1937.0,7,4
Sense and Sensibility,1996.0,7,1
Aliens,1987.0,7,2
Finding Neverland,2005.0,7,1
Love Story,1971.0,7,1
The Martian,2016.0,7,0
The Guns of Navarone,1962.0,7,1
The Pianist,2003.0,7,3
Madame Curie,1944.0,7,0
"Goodbye, Mr. Chips",1940.0,7,1
The Quiet Man,1953.0,7,2
Double Indemnity,1945.0,7,0
Pulp Fiction,1995.0,7,1
Shine,1997.0,7,1
Hamlet,1949.0,7,4
Hawaii,1967.0,7,0
Star!,1969.0,7,0
Atonement,2008.0,7,1
Butch Cassidy and the Sundance Kid,1970.0,7,4
Moulin Rouge,1953.0,7,2
Gosford Park,2002.0,7,1
The Long Voyage Home,1941.0,6,0
Our Town,1941.0,6,0
Crash,2006.0,6,3
WALL-E,2009.0,6,1
War Horse,2012.0,6,0
Ordinary People,1981.0,6,4
Terminator 2: Judgment Day,1992.0,6,4
The Wizard of Oz,1940.0,6,2
The Way We Were,1974.0,6,2
Tess,1981.0,6,3
One Night of Love,1935.0,6,2
Auntie Mame,1959.0,6,0
Meredith Willson's The Music Man,1963.0,6,1
My Man Godfrey,1937.0,6,0
Empire of the Sun,1988.0,6,0
Manchester by the Sea,2017.0,6,2
Love Affair,1940.0,6,0
Captain Phillips,2014.0,6,0
Love Me or Leave Me,1956.0,6,1
Murder on the Orient Express,1975.0,6,1
The Jolson Story,1947.0,6,2
The High and the Mighty,1955.0,6,1
Dog Day Afternoon,1976.0,6,1
Moonstruck,1988.0,6,3
Moneyball,2012.0,6,0
Battleground,1950.0,6,2
The Cardinal,1964.0,6,0
The Crying Game,1993.0,6,1
The Informer,1936.0,6,4
Mildred Pierce,1946.0,6,1
Bound for Glory,1977.0,6,2
Boyhood,2015.0,6,1
Bridge of Spies,2016.0,6,1
"It's a Mad, Mad, Mad, Mad World",1964.0,6,1
Carol,2016.0,6,0
Das Boot,1983.0,6,0
Cat on a Hot Tin Roof,1959.0,6,0
In Old Chicago,1938.0,6,2
Thelma & Louise,1992.0,6,1
Beauty and the Beast,1992.0,6,2
Lenny,1975.0,6,0
Up in the Air,2010.0,6,0
The Awful Truth,1938.0,6,1
Nicholas and Alexandra,1972.0,6,2
The Bad and the Beautiful,1953.0,6,5
The Unsinkable Molly Brown,1965.0,6,0
The Sixth Sense,2000.0,6,0
Nebraska,2014.0,6,0
The Snake Pit,1949.0,6,1
Lili,1954.0,6,1
Dallas Buyers Club,2014.0,6,3
Champion,1950.0,6,1
Mystic River,2004.0,6,2
Memoirs of a Geisha,2006.0,6,3
Lion,2017.0,6,0
Midnight Express,1979.0,6,2
I Want to Live!,1959.0,6,1
Spotlight,2016.0,6,2
Hold Back the Dawn,1942.0,6,0
Foreign Correspondent,1941.0,6,0
Hans Christian Andersen,1953.0,6,0
Fame,1981.0,6,2
Fanny & Alexander,1984.0,6,4
Road to Perdition,2003.0,6,1
Witness for the Prosecution,1958.0,6,0
The Rains Came,1940.0,6,1
Room at the Top,1960.0,6,2
Some Like It Hot,1960.0,6,1
Alexander's Ragtime Band,1939.0,6,1
An Officer and a Gentleman,1983.0,6,2
"Good Night, and Good Luck.",2006.0,6,0
Good Fellas,1991.0,6,1
Working Girl,1989.0,6,1
Sabrina,1955.0,6,1
The North Star,1944.0,6,0
Picnic,1956.0,6,2
Precious: Based on the Novel 'Push' by Sapphire,2010.0,6,2
Fatal Attraction,1988.0,6,0
Frida,2003.0,6,2
Friendly Persuasion,1957.0,6,0
San Francisco,1937.0,6,1
American Sniper,2015.0,6,1
Ray,2005.0,6,2
Who Framed Roger Rabbit,1989.0,6,3
A Song to Remember,1946.0,6,0
The Philadelphia Story,1941.0,6,2
Spartacus,1961.0,6,4
Hacksaw Ridge,2017.0,6,2
Spellbound,1946.0,6,1
The More the Merrier,1944.0,6,1
A Star Is Born,1955.0,6,0
The Queen,2007.0,6,1
The Lord of the Rings: The Two Towers,2003.0,6,2
Shane,1954.0,6,1
127 Hours,2011.0,6,0
Pan's Labyrinth,2007.0,6,3
The Human Comedy,1944.0,5,1
Captain Blood,1936.0,5,0
The Bishop's Wife,1948.0,5,1
It's a Wonderful Life,1947.0,5,0
The Red Shoes,1949.0,5,2
Doubt,2009.0,5,0
Foxcatcher,2015.0,5,0
Munich,2006.0,5,0
Love with the Proper Stranger,1964.0,5,0
Some Came Running,1959.0,5,0
"Mary, Queen of Scots",1972.0,5,0
David and Bathsheba,1952.0,5,0
The Dresser,1984.0,5,0
Breaking Away,1980.0,5,1
Whiplash,2015.0,5,3
The Postman (Il Postino),1996.0,5,1
Julius Caesar,1954.0,5,1
Nashville,1976.0,5,1
Lilies of the Field,1964.0,5,1
Yentl,1984.0,5,1
Pirates of the Caribbean: The Curse of the Black Pearl,2004.0,5,0
The Talented Mr. Ripley,2000.0,5,0
Earthquake,1975.0,5,2
The Greatest Show on Earth,1953.0,5,2
National Velvet,1946.0,5,2
Federico Fellini's 8-1/2,1964.0,5,2
The Big Short,2016.0,5,1
The Greatest Story Ever Told,1966.0,5,0
In the Bedroom,2002.0,5,0
My Left Foot,1990.0,5,2
Cat Ballou,1966.0,5,1
Tora! Tora! Tora!,1971.0,5,1
Darling,1966.0,5,3
Black Swan,2011.0,5,1
Capote,2006.0,5,1
Alfie,1967.0,5,0
Mr. Deeds Goes to Town,1937.0,5,1
Four Daughters,1939.0,5,0
The Sundowners,1961.0,5,0
The Miracle Worker,1963.0,5,2
Merrily We Live,1939.0,5,0
With a Song in My Heart,1953.0,5,1
The Children's Hour,1962.0,5,0
Sophie's Choice,1983.0,5,1
It Happened One Night,1935.0,5,5
The Longest Day,1963.0,5,2
Flower Drum Song,1962.0,5,0
Born Yesterday,1951.0,5,1
Jezebel,1939.0,5,2
The Private Lives of Elizabeth and Essex,1940.0,5,0
The Theory of Everything,2015.0,5,1
Ratatouille,2008.0,5,1
Traffic,2001.0,5,4
Great Expectations,1948.0,5,2
Boys Town,1939.0,5,2
Death of a Salesman,1952.0,5,0
The Hindenburg,1976.0,5,2
Jerry Maguire,1997.0,5,1
Gorillas in the Mist,1989.0,5,0
Interiors,1979.0,5,0
Aladdin,1993.0,5,2
Star Wars: The Force Awakens,2016.0,5,0
M*A*S*H,1971.0,5,1
Breakfast at Tiffany's,1962.0,5,2
The Reader,2009.0,5,1
Interstellar,2015.0,5,1
A Touch of Class,1974.0,5,1
Blood Diamond,2007.0,5,0
Camelot,1968.0,5,3
The Descendants,2012.0,5,1
Never on Sunday,1961.0,5,1
Days of Wine and Roses,1963.0,5,1
The Departed,2007.0,5,4
Django Unchained,2013.0,5,2
Toy Story 3,2011.0,5,2
A Patch of Blue,1966.0,5,1
American Graffiti,1974.0,5,0
Samson and Delilah,1951.0,5,2
7th Heaven,1929.0,5,3
The Wolf of Wall Street,2014.0,5,0
Fanny,1962.0,5,0
Cleopatra,1935.0,5,1
Fantastic Voyage,1967.0,5,2
The French Lieutenant's Woman,1982.0,5,0
Silkwood,1984.0,5,0
Cries and Whispers,1974.0,5,1
Laura,1945.0,5,1
Ghost,1991.0,5,2
The Verdict,1983.0,5,0
What Ever Happened to Baby Jane?,1963.0,5,1
Of Mice and Men,1940.0,5,0
Anchors Aweigh,1946.0,5,1
Viva Zapata!,1953.0,5,1
The Fisher King,1992.0,5,1
The Robe,1954.0,5,2
Elmer Gantry,1961.0,5,3
Crossfire,1948.0,5,0
Secrets & Lies,1997.0,5,0
Philadelphia,1994.0,5,2
The Age of Innocence,1994.0,5,1
Chocolat,2001.0,5,0
Seven Brides for Seven Brothers,1955.0,5,1
Lady Sings the Blues,1973.0,5,0
The Agony and the Ecstasy,1966.0,5,0
Anna and the King of Siam,1947.0,5,2
The Girl with the Dragon Tattoo,2012.0,5,1
Evita,1997.0,5,1
Kitty Foyle,1941.0,5,1
Hook,1992.0,5,0
The Good Earth,1938.0,5,2
Hope and Glory,1988.0,5,0
The Patriot,1930.0,5,1
The Gay Divorcee,1935.0,5,1
Atlantic City,1982.0,5,0
Z,1970.0,5,2
Cover Girl,1945.0,5,1
Tender Mercies,1984.0,5,2
The Goodbye Girl,1978.0,5,1
Annie Hall,1978.0,5,4
Walk the Line,2006.0,5,1
One Hundred Men and a Girl,1938.0,5,1
Erin Brockovich,2001.0,5,1
2010,1985.0,5,0
Zero Dark Thirty,2013.0,5,1
The Love Parade,1931.0,5,0
Sideways,2005.0,5,1
The Great Dictator,1941.0,5,0
Return of the Jedi,1984.0,5,1
Amour,2013.0,5,1
The River,1985.0,5,1
Up,2010.0,5,2
Skyfall,2013.0,5,2
Amélie,2002.0,5,0
Glory,1990.0,5,3
Funny Lady,1976.0,5,0
The Great Race,1966.0,5,1
North West Mounted Police,1941.0,5,1
Bedknobs and Broomsticks,1972.0,5,1
Cyrano de Bergerac,1991.0,5,1
Children of a Lesser God,1987.0,5,1
Frost/Nixon,2009.0,5,0
I Remember Mama,1949.0,5,0
The Facts of Life,1961.0,5,1
Her,2014.0,5,1
Pillow Talk,1960.0,5,1
Cavalcade,1934.0,4,3
2001: A Space Odyssey,1969.0,4,1
Juno,2008.0,4,1
Green Dolphin Street,1948.0,4,1
Sands of Iwo Jima,1950.0,4,0
The Full Monty,1998.0,4,1
Little Miss Sunshine,2007.0,4,2
The Wiz,1979.0,4,0
The Fabulous Baker Boys,1990.0,4,0
A Thousand Clowns,1966.0,4,1
The Emigrants,1973.0,4,0
Scent of a Woman,1993.0,4,1
Marie Antoinette,1939.0,4,0
"Same Time, Next Year",1979.0,4,0
Sounder,1973.0,4,0
The Thief of Bagdad,1941.0,4,3
The Wings of the Dove,1998.0,4,0
Scrooge,1971.0,4,0
The Green Mile,2000.0,4,0
Top Gun,1987.0,4,1
Cool Hand Luke,1968.0,4,1
Kotch,1972.0,4,0
This above All,1943.0,4,1
Topsy-Turvy,2000.0,4,2
A Double Life,1948.0,4,2
A Star Is Born,1977.0,4,1
Life with Father,1948.0,4,0
Kundun,1998.0,4,0
A Few Good Men,1993.0,4,0
Shampoo,1976.0,4,1
The Empire Strikes Back,1981.0,4,2
La Dolce Vita,1962.0,4,1
Kiss of the Spider Woman,1986.0,4,1
Winter's Bone,2011.0,4,0
Sleuth,1973.0,4,0
Kismet,1945.0,4,0
A Clockwork Orange,1972.0,4,0
Seven Beauties,1977.0,4,0
Top Hat,1936.0,4,0
Jaws,1976.0,4,3
Lady for a Day,1934.0,4,0
The Eddy Duchin Story,1957.0,4,0
The Danish Girl,2016.0,4,1
So Proudly We Hail!,1944.0,4,0
Les Miserables,1936.0,4,0
G. I. Joe,1946.0,4,0
The Five Pennies,1960.0,4,0
Days of Heaven,1979.0,4,1
Lust for Life,1957.0,4,1
A Man and a Woman,1967.0,4,2
Cross Creek,1984.0,4,0
The Dirty Dozen,1968.0,4,1
Lost in Translation,2004.0,4,1
Leave Her to Heaven,1946.0,4,1
Leaving Las Vegas,1996.0,4,1
The Treasure of the Sierra Madre,1949.0,4,3
The Divorcee,1931.0,4,1
Wonder Man,1946.0,4,1
The Night of the Iguana,1965.0,4,1
Room,2016.0,4,1
Love Letters,1946.0,4,0
Lemony Snicket's A Series of Unfortunate Events,2005.0,4,1
The Diving Bell and the Butterfly,2008.0,4,0
Ryan's Daughter,1971.0,4,2
The Umbrellas of Cherbourg,1966.0,4,0
Mad about Music,1939.0,4,0
Skippy,1932.0,4,1
Women in Love,1971.0,4,1
The Thin Man,1935.0,4,0
Captains Courageous,1938.0,4,1
Jungle Book,1943.0,4,0
The Grifters,1991.0,4,0
The Wonderful World of the Brothers Grimm,1963.0,4,1
Georgy Girl,1967.0,4,0
The Natural,1985.0,4,0
The Help,2012.0,4,1
King Kong,2006.0,4,3
City of God,2004.0,4,0
Funny Face,1958.0,4,0
Dead Poets Society,1990.0,4,1
The Fortune Cookie,1967.0,4,1
Romeo and Juliet,1937.0,4,0
Romeo and Juliet,1969.0,4,2
Dead Man Walking,1996.0,4,1
Dead End,1938.0,4,0
The Untouchables,1988.0,4,1
Letters from Iwo Jima,2007.0,4,1
A Midsummer Night's Dream,1936.0,4,2
A Farewell to Arms,1934.0,4,2
Executive Suite,1955.0,4,0
The Constant Gardener,2006.0,4,1
Twelve O'Clock High,1950.0,4,2
East of Eden,1956.0,4,1
Pirates of the Caribbean: Dead Man's Chest,2007.0,4,1
If I Were King,1939.0,4,0
The Bad Seed,1957.0,4,0
Sunday Bloody Sunday,1972.0,4,0
Amistad,1998.0,4,0
The Asphalt Jungle,1951.0,4,0
Nine,2010.0,4,0
Ninotchka,1940.0,4,0
Nixon,1996.0,4,0
The Magnificent Ambersons,1943.0,4,0
An Affair to Remember,1958.0,4,0
Beasts of the Southern Wild,2013.0,4,0
Sunrise at Campobello,1961.0,4,0
The Last Samurai,2004.0,4,0
None but the Lonely Heart,1945.0,4,1
Norma Rae,1980.0,4,2
America America,1964.0,4,1
In Cold Blood,1968.0,4,0
Summer of '42,1972.0,4,1
My Cousin Rachel,1953.0,4,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965.0,4,0
Birdman of Alcatraz,1963.0,4,0
The Killers,1947.0,4,0
Finding Nemo,2004.0,4,1
Pride & Prejudice,2006.0,4,0
The Big House,1931.0,4,2
Hell or High Water,2017.0,4,0
All Quiet on the Western Front,1931.0,4,2
Fences,2017.0,4,1
The Man Who Would Be King,1976.0,4,0
Sudden Fear,1953.0,4,0
Porgy and Bess,1960.0,4,1
Almost Famous,2001.0,4,1
Henry V,1947.0,4,0
Meet Me in St. Louis,1945.0,4,0
In Old Arizona,1930.0,4,1
I'll Cry Tomorrow,1956.0,4,1
Sunrise,1929.0,4,3
Philomena,2014.0,4,0
Taxi Driver,1977.0,4,0
The Rose,1980.0,4,0
Avalon,1991.0,4,0
Annie Get Your Gun,1951.0,4,1
The Russians Are Coming The Russians Are Coming,1967.0,4,0
Paper Moon,1974.0,4,1
The Search,1949.0,4,1
Watch on the Rhine,1944.0,4,1
Pal Joey,1958.0,4,0
Anna Karenina,2013.0,4,1
Othello,1966.0,4,0
The Sea Hawk,1941.0,4,0
Arthur,1982.0,4,2
Arabian Nights,1943.0,4,0
"Arise, My Love",1941.0,4,1
Arrowsmith,1933.0,4,0
Armageddon,1999.0,4,0
Wake Island,1943.0,4,0
That Hamilton Woman,1942.0,4,1
Notes on a Scandal,2007.0,4,0
The Lion King,1995.0,4,2
The African Queen,1952.0,4,1
Phantom of the Opera,1944.0,4,2
The Affairs of Cellini,1935.0,4,0
The Adventures of Robin Hood,1939.0,4,3
Viva Villa!,1935.0,4,1
Ball of Fire,1942.0,4,0
The Adventures of Baron Munchausen,1990.0,4,0
The Accidental Tourist,1989.0,4,1
Pearl Harbor,2002.0,4,1
Back to the Future,1986.0,4,1
The Abyss,1990.0,4,1
Superman,1979.0,4,1
Oklahoma!,1956.0,4,2
Far from Heaven,2003.0,4,0
Baby Doll,1957.0,4,0
The Madness of King George,1995.0,4,1
The Kids Are All Right,2011.0,4,0
Summer and Smoke,1962.0,4,0
Five Easy Pieces,1971.0,4,0
Quiz Show,1995.0,4,0
Morocco,1932.0,4,0
The Story of Louis Pasteur,1937.0,4,3
Travels with My Aunt,1973.0,4,1
Detective Story,1952.0,4,0
The Citadel,1939.0,4,0
Rear Window,1955.0,4,0
Star Trek,2010.0,4,1
The Razor's Edge,1947.0,4,1
Blossoms in the Dust,1942.0,4,1
Spring Parade,1941.0,4,0
Midnight in Paris,2012.0,4,1
"Monsters, Inc.",2002.0,4,1
Stage Door,1938.0,4,0
Star Trek IV: The Voyage Home,1987.0,4,0
Pygmalion,1939.0,4,1
Hamlet,1997.0,4,0
Bob & Carol & Ted & Alice,1970.0,4,0
"Rachel, Rachel",1969.0,4,0
The Champ,1933.0,4,2
Ran,1986.0,4,1
Die Hard,1989.0,4,0
The China Syndrome,1980.0,4,0
District 9,2010.0,4,0
Raintree County,1958.0,4,0
Adaptation,2003.0,4,1
The Incredibles,2005.0,4,2
Missing,1983.0,4,1
Flashdance,1984.0,4,1
Air Force,1944.0,4,1
Miracle on 34th Street,1948.0,4,3
Mr. Turner,2015.0,4,0
The Matrix,2000.0,4,4
The Color of Money,1987.0,4,1
Bram Stoker's Dracula,1993.0,4,3
Psycho,1961.0,4,0
Guys and Dolls,1956.0,4,0
Algiers,1939.0,4,0
Inherit the Wind,1961.0,4,0
Blackboard Jungle,1956.0,4,0
The Sunshine Boys,1976.0,4,1
The Keys of the Kingdom,1946.0,4,0
Black Hawk Down,2002.0,4,2
Hollywood Canteen,1945.0,3,0
Crimes and Misdemeanors,1990.0,3,0
"Gaily, Gaily",1970.0,3,0
The Hobbit: The Desolation of Smaug,2014.0,3,0
Crimson Tide,1996.0,3,0
The Moon Is Blue,1954.0,3,0
The Patriot,2001.0,3,0
The Hunt for Red October,1991.0,3,1
Gambit,1967.0,3,0
The Hurricane,1938.0,3,1
King Kong,1977.0,3,1
Enchanted April,1993.0,3,0
Jackie,2017.0,3,0
Ivanhoe,1953.0,3,0
Enchanted,2008.0,3,0
Deliverance,1973.0,3,0
Crimes of the Heart,1987.0,3,0
The Phantom of the Opera,2005.0,3,0
The Picture of Dorian Gray,1946.0,3,1
Crazy Heart,2010.0,3,2
Hotel Rwanda,2005.0,3,0
Faces,1969.0,3,0
Holiday Inn,1943.0,3,1
Kings Row,1943.0,3,0
The Gospel According to St. Matthew,1967.0,3,0
"Cousin, Cousine",1977.0,3,0
The Passion of the Christ,2005.0,3,0
The Little Mermaid,1990.0,3,2
The Pied Piper,1943.0,3,0
House of Sand and Fog,2004.0,3,0
"Greystoke: The Legend of Tarzan, Lord of the Apes",1985.0,3,0
The Stunt Man,1981.0,3,0
Flying Tigers,1943.0,3,0
Gypsy,1963.0,3,0
Equus,1978.0,3,0
The War of the Worlds,1954.0,3,1
The Professionals,1967.0,3,0
King Solomon's Mines,1951.0,3,2
Exodus,1961.0,3,1
"Enemies, A Love Story",1990.0,3,0
High Society,1957.0,3,0
Dr. Jekyll and Mr. Hyde,1933.0,3,1
Cry Freedom,1988.0,3,0
Hidden Figures,2017.0,3,0
Gods and Monsters,1999.0,3,1
In America,2004.0,3,0
The Polar Express,2005.0,3,0
Jurassic Park,1994.0,3,3
Interrupted Melody,1956.0,3,1
The Maltese Falcon,1942.0,3,0
Henry V,1990.0,3,1
The Hateful Eight,2016.0,3,1
Journey to the Center of the Earth,1960.0,3,0
Field of Dreams,1990.0,3,0
In the Line of Fire,1994.0,3,0
The Old Man and the Sea,1959.0,3,1
Inside Daisy Clover,1966.0,3,0
The Truman Show,1999.0,3,0
Day for Night,1975.0,3,0
Dark Victory,1940.0,3,0
Darling Lili,1971.0,3,0
Down Argentine Way,1941.0,3,0
The Man with the Golden Arm,1956.0,3,0
The Spy Who Loved Me,1978.0,3,0
The Southerner,1946.0,3,0
The Tree of Life,2012.0,3,0
Indiana Jones and the Last Crusade,1990.0,3,1
Heaven Can Wait,1944.0,3,0
